timestamp,total_vehicles,hour,day_of_week,is_weekend,traffic_level,temperature,precipitation,windspeed
2025-10-07 16:00:00+02:00,1.0,16,1,0,Low,22.2,0.0,9.4
2025-10-10 13:00:00+02:00,3.4,13,4,0,Medium,22.0,0.0,6.0
2025-10-10 16:00:00+02:00,4.8,16,4,0,High,23.6,0.0,17.4
2025-10-10 18:00:00+02:00,11.75,18,4,0,High,22.1,0.0,19.3
2025-10-10 19:00:00+02:00,9.25,19,4,0,High,21.0,0.0,17.9
2025-10-10 20:00:00+02:00,3.75,20,4,0,Medium,20.3,0.0,15.5
2025-10-10 21:00:00+02:00,5.25,21,4,0,High,19.5,0.0,13.4
2025-10-10 22:00:00+02:00,3.0,22,4,0,Medium,18.9,0.0,10.0
2025-10-10 23:00:00+02:00,1.25,23,4,0,Low,18.4,0.0,9.6
2025-10-11 00:00:00+02:00,2.125,0,5,1,Low,18.3,0.0,8.5
2025-10-11 01:00:00+02:00,2.5,1,5,1,Low,18.5,0.0,9.9
2025-10-11 02:00:00+02:00,1.625,2,5,1,Low,17.7,0.0,7.9
2025-10-11 03:00:00+02:00,1.25,3,5,1,Low,17.9,0.0,9.4
2025-10-11 08:00:00+02:00,4.5,8,5,1,Medium,18.1,0.0,13.4
2025-10-11 09:00:00+02:00,2.75,9,5,1,Medium,18.4,0.0,12.4
2025-10-11 10:00:00+02:00,2.0,10,5,1,Low,19.9,0.0,11.8
2025-10-11 11:00:00+02:00,6.0,11,5,1,High,21.5,0.0,15.0
2025-10-11 12:00:00+02:00,4.375,12,5,1,Medium,22.5,0.0,18.3
2025-10-14 23:00:00+02:00,3.0,23,1,0,Medium,16.8,0.2,4.2
2025-10-15 13:00:00+02:00,4.0,13,2,0,Medium,21.3,0.0,6.0
2025-10-15 14:00:00+02:00,7.8,14,2,0,High,21.5,0.0,8.6
2025-10-15 15:00:00+02:00,5.75,15,2,0,High,21.4,0.0,7.6
2025-10-15 16:00:00+02:00,2.0,16,2,0,Low,21.3,0.0,9.0
2025-10-15 17:00:00+02:00,3.75,17,2,0,Medium,19.8,0.3,7.5
2025-10-15 18:00:00+02:00,3.5,18,2,0,Medium,20.0,0.1,6.9
2025-10-15 19:00:00+02:00,3.5,19,2,0,Medium,19.4,0.0,4.1
2025-10-15 20:00:00+02:00,1.5,20,2,0,Low,18.5,0.0,2.7
2025-10-15 21:00:00+02:00,4.5,21,2,0,Medium,18.2,0.0,3.2
2025-10-15 22:00:00+02:00,2.5,22,2,0,Low,17.5,0.0,3.5
2025-10-15 23:00:00+02:00,1.5,23,2,0,Low,16.8,0.0,3.8
